501,POSITIVO,PARA YA | Las islas Santa Cruz y San Cristóbal de Galápagos son los primeros cantones de Ecuador declaras libres de Coronavirus. #WambraSapo #GalÃ¡pagos #COVID19 #CoronavirusEnEcuador #Ecuador #Cuarentena #IslasGalÃ¡pagos https://t.co/joxrsFstbU
502,POSITIVO,"El Concejo Cantonal hoy, 30 de mayo, aprobó la Ordenanza para Promoción y Fortalecimiento de la Movilidad Activa en el cantón #Cuenca. Fuente: @MunicipioCuenca #Noticias #Ecuador #Coronavirus https://t.co/OQMw5Vu9s4"
503,POSITIVO,Andrea Bocelli tuvo coronavirus y dona plasma para investigación https://t.co/0BxrOV0R1T vía @Primicias
504,POSITIVO,#DESTACADO El transporte público urbano en #Cuenca se reactiva a partir del lunes 01 de junio. Se pide a la ciudadanía utilizarlo con responsabilidad. Fuente: @MunicipioCuenca #Noticias #Ecuador #coronavirus https://t.co/6MokoCZdD1
505,POSITIVO,Del coronavirus aprendí que apartarse de lo tóxico es lo que te salva. #30Mayo #sabadodecuarentena
506,POSITIVO,"SOLO PERIODISMO... Coronavirus: El periodismo y los medios, más necesarios que nunca https://t.co/3MHlCWAhPe"
507,POSITIVO,"#CIENCIA | Un centro de investigación estatal de virología y biotecnología de Rusia, ha desarrollado una vacuna contra el coronavirus que podrá ser administrada por ví­a nasal."
508,POSITIVO,"Forma parte del Multifest School! En esta ediciÓn, la temática para desarrollar los trabajos es: El coronavirus en el Ecuador. Cuéntanos, en una propuesta, las diferentes representaciones gráficas y visuales sobre esta pandemia. https://t.co/y04VFf4XJe https://t.co/GqWgbOjmBg"
509,POSITIVO,#Concierto de 24 horas recauda fondos para apoyar a afectados por #Covid_19 La iniciativa internacional #OneHumanityLive reunió a más de 150 artistas internacionales para llevar un mensaje de paz y esperanza durante la pandemia por #coronavirus https://t.co/ck8O2P9WN4
510,POSITIVO,"Coronavirus: Ministerio de Salud de Ecuador permite tratamiento con hidroxicloroquina, pese a apoyo a la OMS en suspender ensayos | ElUniverso https://t.co/WLEJm9NvNt https://t.co/4G2u8xuBux"
511,POSITIVO,AHORA. David Guetta desde Nueva York en concierto benéfico pro fondos contra coronavirus https://t.co/ikCKRCbSIm https://t.co/DDlyxlXDem
